wl,1200_Clear_45Deg,x300,x302,x304,x306,x308,x310,x312,x314,x316,x318,x320,x322,x324,x326,x328,x330,x332,x334,x336,x338,x340,x342,x344,x346,x348,x350,x352,x354,x356,x358,x360,x362,x364,x366,x368,x370,x372,x374,x376,x378,x380,x382,x384,x386,x388,x390,x392,x394,x396,x398,x400,x402,x404,x406,x408,x410,x412,x414,x416,x418,x420,x422,x424,x426,x428,x430,x432,x434,x436,x438,x440,x442,x444,x446,x448,x450,x452,x454,x456,x458,x460,x462,x464,x466,x468,x470,x472,x474,x476,x478,x480,x482,x484,x486,x488,x490,x492,x494,x496,x498,x500,x502,x504,x506,x508,x510,x512,x514,x516,x518,x520,x522,x524,x526,x528,x530,x532,x534,x536,x538,x540,x542,x544,x546,x548,x550,x552,x554,x556,x558,x560,x562,x564,x566,x568,x570,x572,x574,x576,x578,x580,x582,x584,x586,x588,x590,x592,x594,x596,x598,x600,x602,x604,x606,x608,x610,x612,x614,x616,x618,x620,x622,x624,x626,x628,x630,x632,x634,x636,x638,x640,x642,x644,x646,x648,x650,x652,x654,x656,x658,x660,x662,x664,x666,x668,x670,x672,x674,x676,x678,x680,x682,x684,x686,x688,x690,x692,x694,x696,x698,x700
300,26.41666082,4000,3899.847076,3577.008035,3055.77267,2423.072877,1824.679791,1325.937973,964.3258813,703.3214393,508.3250398,371.9995793,273.4746058,200.833394,146.6207086,109.7927843,82.53028133,63.29991666,49.35683019,40.311835,30.43215121,28.74756252,22.1268539,18.6049146,12.98152778,13.70989797,14.64346109,14.86580738,11.38464775,9.981632967,12.57421657,7.786359848,10.68702414,11.94294083,10.48539133,7.280449224,6.245875509,8.03521292,6.812664353,6.073743234,6.968064018,7.597155133,4.32659336,3.729106488,4.541204457,5.430929437,3.364112274,2.502625596,3.825068168,3.051257778,4.022881925,3.61958395,2.169704914,2.531511194,1.348232476,2.126886262,3.230914872,3.967716096,1.322981447,1.107481936,0.40637247,2.285231125,2.639318397,2.26503548,1.346700002,1.463358982,2.614575495,2.942868008,1.656588263,0.494864513,2.424529294,2.039096698,0.327496339,1.504520556,0.381040691,-0.893026191,2.358505069,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
301,27.40490628,3991.245317,3975.192368,3761.665493,3343.495886,2742.384154,2111.270238,1560.016506,1130.90759,822.9563641,598.1357866,433.9927665,320.3793156,232.6900826,172.2455519,126.5512861,95.36293096,71.14433899,55.32522595,45.37951793,36.23532458,28.11563949,24.8874109,21.38084488,14.54911765,12.85708506,13.96978744,16.34326124,11.64939195,10.48490586,11.46863445,9.709283038,8.252704485,12.52858218,12.12224191,8.475859893,6.608555639,6.113713782,8.434594752,6.271120065,5.024297886,6.781820683,7.712697527,3.912113342,3.026013221,5.149128982,5.66326027,1.747748622,4.117500465,2.406550639,3.396622731,4.780250989,2.332710311,2.367195022,1.391201625,1.509624487,3.352816953,4.402780138,2.634965329,-0.281407222,1.149120891,1.212651407,2.625886998,2.559490578,1.561602382,1.224539004,1.240363781,3.578642458,2.26946946,0.702340785,2.497123577,1.616431617,0.348539942,1.751422029,0.18484032,-0.601917615,0.641365472,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
302,37.00186026,3942.779005,4000,3899.847076,3577.008035,3055.77267,2423.072877,1824.679791,1325.937973,964.3258813,703.3214393,508.3250398,371.9995793,273.4746058,200.833394,146.6207086,109.7927843,82.53028133,63.29991666,49.35683019,40.311835,30.43215121,28.74756252,22.1268539,18.6049146,12.98152778,13.70989797,14.64346109,14.86580738,11.38464775,9.981632967,12.57421657,7.786359848,10.68702414,11.94294083,10.48539133,7.280449224,6.245875509,8.03521292,6.812664353,6.073743234,6.968064018,7.597155133,4.32659336,3.729106488,4.541204457,5.430929437,3.364112274,2.502625596,3.825068168,3.051257778,4.022881925,3.61958395,2.169704914,2.531511194,1.348232476,2.126886262,3.230914872,3.967716096,1.322981447,1.107481936,0.40637247,2.285231125,2.639318397,2.26503548,1.346700002,1.463358982,2.614575495,2.942868008,1.656588263,0.494864513,2.424529294,2.039096698,0.327496339,1.504520556,0.381040691,-0.893026191,2.358505069,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
303,50.56842553,3859.423421,3991.245317,3975.192368,3761.665493,3343.495886,2742.384154,2111.270238,1560.016506,1130.90759,822.9563641,598.1357866,433.9927665,320.3793156,232.6900826,172.2455519,126.5512861,95.36293096,71.14433899,55.32522595,45.37951793,36.23532458,28.11563949,24.8874109,21.38084488,14.54911765,12.85708506,13.96978744,16.34326124,11.64939195,10.48490586,11.46863445,9.709283038,8.252704485,12.52858218,12.12224191,8.475859893,6.608555639,6.113713782,8.434594752,6.271120065,5.024297886,6.781820683,7.712697527,3.912113342,3.026013221,5.149128982,5.66326027,1.747748622,4.117500465,2.406550639,3.396622731,4.780250989,2.332710311,2.367195022,1.391201625,1.509624487,3.352816953,4.402780138,2.634965329,-0.281407222,1.149120891,1.212651407,2.625886998,2.559490578,1.561602382,1.224539004,1.240363781,3.578642458,2.26946946,0.702340785,2.497123577,1.616431617,0.348539942,1.751422029,0.18484032,-0.601917615,0.641365472,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
304,64.84557259,3747.635346,3942.779005,4000,3899.847076,3577.008035,3055.77267,2423.072877,1824.679791,1325.937973,964.3258813,703.3214393,508.3250398,371.9995793,273.4746058,200.833394,146.6207086,109.7927843,82.53028133,63.29991666,49.35683019,40.311835,30.43215121,28.74756252,22.1268539,18.6049146,12.98152778,13.70989797,14.64346109,14.86580738,11.38464775,9.981632967,12.57421657,7.786359848,10.68702414,11.94294083,10.48539133,7.280449224,6.245875509,8.03521292,6.812664353,6.073743234,6.968064018,7.597155133,4.32659336,3.729106488,4.541204457,5.430929437,3.364112274,2.502625596,3.825068168,3.051257778,4.022881925,3.61958395,2.169704914,2.531511194,1.348232476,2.126886262,3.230914872,3.967716096,1.322981447,1.107481936,0.40637247,2.285231125,2.639318397,2.26503548,1.346700002,1.463358982,2.614575495,2.942868008,1.656588263,0.494864513,2.424529294,2.039096698,0.327496339,1.504520556,0.381040691,-0.893026191,2.358505069,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
305,84.02274471,3591.572202,3859.423421,3991.245317,3975.192368,3761.665493,3343.495886,2742.384154,2111.270238,1560.016506,1130.90759,822.9563641,598.1357866,433.9927665,320.3793156,232.6900826,172.2455519,126.5512861,95.36293096,71.14433899,55.32522595,45.37951793,36.23532458,28.11563949,24.8874109,21.38084488,14.54911765,12.85708506,13.96978744,16.34326124,11.64939195,10.48490586,11.46863445,9.709283038,8.252704485,12.52858218,12.12224191,8.475859893,6.608555639,6.113713782,8.434594752,6.271120065,5.024297886,6.781820683,7.712697527,3.912113342,3.026013221,5.149128982,5.66326027,1.747748622,4.117500465,2.406550639,3.396622731,4.780250989,2.332710311,2.367195022,1.391201625,1.509624487,3.352816953,4.402780138,2.634965329,-0.281407222,1.149120891,1.212651407,2.625886998,2.559490578,1.561602382,1.224539004,1.240363781,3.578642458,2.26946946,0.702340785,2.497123577,1.616431617,0.348539942,1.751422029,0.18484032,-0.601917615,0.641365472,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
306,106.8459767,3384.793391,3747.635346,3942.779005,4000,3899.847076,3577.008035,3055.77267,2423.072877,1824.679791,1325.937973,964.3258813,703.3214393,508.3250398,371.9995793,273.4746058,200.833394,146.6207086,109.7927843,82.53028133,63.29991666,49.35683019,40.311835,30.43215121,28.74756252,22.1268539,18.6049146,12.98152778,13.70989797,14.64346109,14.86580738,11.38464775,9.981632967,12.57421657,7.786359848,10.68702414,11.94294083,10.48539133,7.280449224,6.245875509,8.03521292,6.812664353,6.073743234,6.968064018,7.597155133,4.32659336,3.729106488,4.541204457,5.430929437,3.364112274,2.502625596,3.825068168,3.051257778,4.022881925,3.61958395,2.169704914,2.531511194,1.348232476,2.126886262,3.230914872,3.967716096,1.322981447,1.107481936,0.40637247,2.285231125,2.639318397,2.26503548,1.346700002,1.463358982,2.614575495,2.942868008,1.656588263,0.494864513,2.424529294,2.039096698,0.327496339,1.504520556,0.381040691,-0.893026191,2.358505069,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
307,137.2297338,3141.895445,3591.572202,3859.423421,3991.245317,3975.192368,3761.665493,3343.495886,2742.384154,2111.270238,1560.016506,1130.90759,822.9563641,598.1357866,433.9927665,320.3793156,232.6900826,172.2455519,126.5512861,95.36293096,71.14433899,55.32522595,45.37951793,36.23532458,28.11563949,24.8874109,21.38084488,14.54911765,12.85708506,13.96978744,16.34326124,11.64939195,10.48490586,11.46863445,9.709283038,8.252704485,12.52858218,12.12224191,8.475859893,6.608555639,6.113713782,8.434594752,6.271120065,5.024297886,6.781820683,7.712697527,3.912113342,3.026013221,5.149128982,5.66326027,1.747748622,4.117500465,2.406550639,3.396622731,4.780250989,2.332710311,2.367195022,1.391201625,1.509624487,3.352816953,4.402780138,2.634965329,-0.281407222,1.149120891,1.212651407,2.625886998,2.559490578,1.561602382,1.224539004,1.240363781,3.578642458,2.26946946,0.702340785,2.497123577,1.616431617,0.348539942,1.751422029,0.18484032,-0.601917615,0.641365472,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
308,165.489228,2905.389551,3384.793391,3747.635346,3942.779005,4000,3899.847076,3577.008035,3055.77267,2423.072877,1824.679791,1325.937973,964.3258813,703.3214393,508.3250398,371.9995793,273.4746058,200.833394,146.6207086,109.7927843,82.53028133,63.29991666,49.35683019,40.311835,30.43215121,28.74756252,22.1268539,18.6049146,12.98152778,13.70989797,14.64346109,14.86580738,11.38464775,9.981632967,12.57421657,7.786359848,10.68702414,11.94294083,10.48539133,7.280449224,6.245875509,8.03521292,6.812664353,6.073743234,6.968064018,7.597155133,4.32659336,3.729106488,4.541204457,5.430929437,3.364112274,2.502625596,3.825068168,3.051257778,4.022881925,3.61958395,2.169704914,2.531511194,1.348232476,2.126886262,3.230914872,3.967716096,1.322981447,1.107481936,0.40637247,2.285231125,2.639318397,2.26503548,1.346700002,1.463358982,2.614575495,2.942868008,1.656588263,0.494864513,2.424529294,2.039096698,0.327496339,1.504520556,0.381040691,-0.893026191,2.358505069,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
309,195.87739,2692.121595,3141.895445,3591.572202,3859.423421,3991.245317,3975.192368,3761.665493,3343.495886,2742.384154,2111.270238,1560.016506,1130.90759,822.9563641,598.1357866,433.9927665,320.3793156,232.6900826,172.2455519,126.5512861,95.36293096,71.14433899,55.32522595,45.37951793,36.23532458,28.11563949,24.8874109,21.38084488,14.54911765,12.85708506,13.96978744,16.34326124,11.64939195,10.48490586,11.46863445,9.709283038,8.252704485,12.52858218,12.12224191,8.475859893,6.608555639,6.113713782,8.434594752,6.271120065,5.024297886,6.781820683,7.712697527,3.912113342,3.026013221,5.149128982,5.66326027,1.747748622,4.117500465,2.406550639,3.396622731,4.780250989,2.332710311,2.367195022,1.391201625,1.509624487,3.352816953,4.402780138,2.634965329,-0.281407222,1.149120891,1.212651407,2.625886998,2.559490578,1.561602382,1.224539004,1.240363781,3.578642458,2.26946946,0.702340785,2.497123577,1.616431617,0.348539942,1.751422029,0.18484032,-0.601917615,0.641365472,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972,1.941888972
